Date,Open,High,Low,Close,Volume,Currency,symbol,Name,Exchange,Sector,Industry,Last,Chg. %,Market Cap
2019-01-04,951.02,951.66,950.3,950.3,12900,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-07,991.25,992.41,991.25,992.41,17400,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-08,1008.33,1010.8,1005.32,1005.32,101000,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-09,1044.9,1046.22,1044.21,1044.21,66000,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-10,1038.3,1038.77,1038.3,1038.77,6100,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-11,1060.68,1064.47,1060.68,1064.47,54500,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-15,1043.77,1045.7,1041.85,1045.7,101944,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-16,1047.87,1052.7,1047.85,1052.7,23700,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-22,1064.12,1082.99,1060.66,1082.99,2500,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-23,1057.0,1057.0,1057.0,1057.0,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-24,1063.0,1063.0,1063.0,1063.0,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-28,1080.05,1080.05,1080.05,1080.05,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-01-29,1043.98,1043.98,1043.98,1043.98,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-02-05,995.32,997.25,995.32,997.25,10000,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-02-07,1041.48,1041.6,1041.48,1041.6,10000,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-02-14,1043.0,1043.0,1043.0,1043.0,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
2019-02-18,1036.75,1036.75,1036.75,1036.75,0,JPY,0QYR,Panasonic,London,Consumer Discretionary,Household Durables,1388.5,-0.0054,3.24T
